5
Time taken in solving the query is:  0.31074976921081543  seconds. 
The query was:  sat
e188 --->  0
e4517 --->  0
e1035 --->  0
e1232 --->  0
e1330 --->  0
e3436 --->  0
e203 --->  0
e822 --->  0
e2031 --->  0
e3637 --->  0
e4140 --->  0
e011 --->  0
e1842 --->  0
e2527 --->  0
e4918 --->  0
e31 --->  0
e3833 --->  0
e153 --->  0
e1710 --->  0
e485 --->  0
e162 --->  0
e323 --->  0
e4436 --->  0
e4446 --->  0
e150 --->  0
e726 --->  0
e3015 --->  0
e2348 --->  0
e542 --->  0
e3721 --->  0
e395 --->  0
e4424 --->  0
e3244 --->  0
e477 --->  0
e3936 --->  0
e2536 --->  0
e315 --->  0
e3426 --->  0
e4612 --->  0
e438 --->  0
e1141 --->  0
e1033 --->  0
e4919 --->  0
e1235 --->  0
e1136 --->  0
e152 --->  0
e539 --->  0
e4041 --->  0
e1128 --->  0
e3948 --->  0
e2122 --->  0
e4311 --->  0
e4011 --->  0
e184 --->  0
e2228 --->  0
e714 --->  0
e940 --->  0
e914 --->  0
e3320 --->  0
e1140 --->  0
e342 --->  0
e3147 --->  0
e2142 --->  0
e3138 --->  0
e922 --->  0
e834 --->  0
e1711 --->  0
e4418 --->  0
e73 --->  0
e232 --->  0
e2033 --->  0
e1946 --->  0
e4727 --->  0
e645 --->  0
e3931 --->  0
e4138 --->  0
e3124 --->  0
e26 --->  0
e3130 --->  0
e70 --->  0
e379 --->  0
e3814 --->  0
e4328 --->  0
e1312 --->  0
e024 --->  0
e1119 --->  0
e1339 --->  0
e3445 --->  0
e3117 --->  0
e499 --->  0
e3731 --->  0
e1445 --->  0
e533 --->  0
e1933 --->  0
e2025 --->  0
e2143 --->  0
e3012 --->  0
e538 --->  0
e4434 --->  0
e4749 --->  0
e476 --->  0
e312 --->  0
e3036 --->  0
e333 --->  0
e927 --->  0
e3932 --->  0
e813 --->  0
e1519 --->  0
e4249 --->  0
e169 --->  0
e478 --->  0
e3849 --->  0
e76 --->  0
e040 --->  1/256
e2810 --->  0
e4644 --->  0
e1122 --->  0
e4921 --->  0
e2223 --->  0
e4440 --->  0
e540 --->  0
e2010 --->  0
e823 --->  0
e2145 --->  0
e3940 --->  0
e4145 --->  0
e4646 --->  0
e3915 --->  0
e4239 --->  0
e114 --->  0
e1910 --->  0
e3837 --->  0
e1145 --->  0
e2831 --->  0
e749 --->  0
e3848 --->  0
e2625 --->  0
e4510 --->  0
e2343 --->  0
e71 --->  0
e2210 --->  0
e324 --->  0
e479 --->  0
e1329 --->  0
e330 --->  0
e1646 --->  0
e56 --->  0
e472 --->  0
e2842 --->  0
e945 --->  0
e4528 --->  0
e4949 --->  0
e4117 --->  0
e4737 --->  0
e2246 --->  0
e3222 --->  0
e1644 --->  0
e455 --->  0
e1311 --->  0
e1328 --->  0
e3516 --->  0
e62 --->  0
e2113 --->  0
e029 --->  0
e3631 --->  0
e736 --->  0
e3944 --->  0
e2733 --->  0
e2024 --->  0
e2632 --->  0
e180 --->  0
e1044 --->  0
e2047 --->  0
e2912 --->  0
e3745 --->  0
e363 --->  0
e206 --->  0
e3030 --->  0
e3227 --->  0
e3113 --->  0
e3634 --->  0
e1417 --->  0
e2330 --->  0
e340 --->  0
e1815 --->  0
e1837 --->  0
e2040 --->  0
e52 --->  0
e715 --->  0
e95 --->  0
e2115 --->  0
e3934 --->  0
e3810 --->  0
e403 --->  0
